route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_ft,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_ft,map_distance_miles,real_distance_miles,elevation_change_ft,tan_theta,mpg,gallons_needed,travel_hours,travel_days,best_travel_date,avg_risk_factor
93,29,Memphis,TN,35.1495,-90.049,337,14,Richmond,VA,37.5407,-77.436,166,720.51,720.48,-171,-4.5e-05,45.02,16.0,9.61,2,2025-11-02,1.0
94,15,Charleston,WV,38.3498,-81.6326,597,23,Columbus,OH,39.9612,-82.9988,902,133.24,133.3,305,0.000434,44.8,2.98,1.78,1,2025-11-01,1.0
95,23,Columbus,OH,39.9612,-82.9988,902,15,Charleston,WV,38.3498,-81.6326,597,133.24,133.18,-305,-0.000434,45.2,2.95,1.78,1,2025-11-01,1.0
96,15,Charleston,WV,38.3498,-81.6326,597,24,Cleveland,OH,41.4993,-81.6944,653,217.64,217.65,56,4.9e-05,44.98,4.84,2.9,1,2025-11-01,1.0
97,24,Cleveland,OH,41.4993,-81.6944,653,15,Charleston,WV,38.3498,-81.6326,597,217.64,217.63,-56,-4.9e-05,45.02,4.83,2.9,1,2025-11-01,1.0
98,15,Charleston,WV,38.3498,-81.6326,597,27,Louisville,KY,38.2527,-85.7585,466,223.8,223.77,-131,-0.000111,45.05,4.97,2.98,1,2025-11-01,1.0
99,27,Louisville,KY,38.2527,-85.7585,466,15,Charleston,WV,38.3498,-81.6326,597,223.8,223.82,131,0.000111,44.95,4.98,2.98,1,2025-11-01,1.0
100,16,Charlotte,NC,35.2271,-80.8431,751,18,Columbia,SC,34.0007,-81.0348,292,85.44,85.35,-459,-0.001018,45.46,1.88,1.14,1,2025-11-01,1.0
101,18,Columbia,SC,34.0007,-81.0348,292,16,Charlotte,NC,35.2271,-80.8431,751,85.44,85.52,459,0.001018,44.54,1.92,1.14,1,2025-11-01,1.0
102,16,Charlotte,NC,35.2271,-80.8431,751,19,Atlanta,GA,33.749,-84.388,1050,226.22,226.28,299,0.00025,44.89,5.04,3.02,1,2025-11-01,1.0
103,19,Atlanta,GA,33.749,-84.388,1050,16,Charlotte,NC,35.2271,-80.8431,751,226.22,226.17,-299,-0.00025,45.11,5.01,3.02,1,2025-11-01,1.0
104,16,Charlotte,NC,35.2271,-80.8431,751,28,Nashville,TN,36.1627,-86.7816,597,339.38,339.36,-154,-8.6e-05,45.04,7.53,4.52,1,2025-11-02,1.0
105,28,Nashville,TN,36.1627,-86.7816,597,16,Charlotte,NC,35.2271,-80.8431,751,339.38,339.41,154,8.6e-05,44.96,7.55,4.53,1,2025-11-02,1.0
106,16,Charlotte,NC,35.2271,-80.8431,751,29,Memphis,TN,35.1495,-90.049,337,519.68,519.6,-414,-0.000151,45.07,11.53,6.93,1,2025-11-01,1.0
107,29,Memphis,TN,35.1495,-90.049,337,16,Charlotte,NC,35.2271,-80.8431,751,519.68,519.76,414,0.000151,44.93,11.57,6.93,1,2025-11-01,1.0
108,17,Raleigh,NC,35.7796,-78.6382,315,18,Columbia,SC,34.0007,-81.0348,292,183.17,183.17,-23,-2.4e-05,45.01,4.07,2.44,1,2025-11-01,1.0
109,18,Columbia,SC,34.0007,-81.0348,292,17,Raleigh,NC,35.7796,-78.6382,315,183.17,183.17,23,2.4e-05,44.99,4.07,2.44,1,2025-11-01,1.0
110,17,Raleigh,NC,35.7796,-78.6382,315,19,Atlanta,GA,33.749,-84.388,1050,355.17,355.3,735,0.000392,44.82,7.93,4.74,1,2025-11-04,1.0
111,19,Atlanta,GA,33.749,-84.388,1050,17,Raleigh,NC,35.7796,-78.6382,315,355.17,355.03,-735,-0.000392,45.18,7.86,4.73,1,2025-11-04,1.0
112,17,Raleigh,NC,35.7796,-78.6382,315,28,Nashville,TN,36.1627,-86.7816,597,456.0,456.06,282,0.000117,44.95,10.15,6.08,1,2025-11-01,1.0
113,28,Nashville,TN,36.1627,-86.7816,597,17,Raleigh,NC,35.7796,-78.6382,315,456.0,455.95,-282,-0.000117,45.05,10.12,6.08,1,2025-11-01,1.0
114,17,Raleigh,NC,35.7796,-78.6382,315,29,Memphis,TN,35.1495,-90.049,337,643.26,643.26,22,6e-06,45.0,14.3,8.58,2,2025-11-02,1.0
115,29,Memphis,TN,35.1495,-90.049,337,17,Raleigh,NC,35.7796,-78.6382,315,643.26,643.25,-22,-6e-06,45.0,14.29,8.58,2,2025-11-02,1.0
116,18,Columbia,SC,34.0007,-81.0348,292,19,Atlanta,GA,33.749,-84.388,1050,193.13,193.28,758,0.000743,44.67,4.33,2.58,1,2025-11-02,1.0
117,19,Atlanta,GA,33.749,-84.388,1050,18,Columbia,SC,34.0007,-81.0348,292,193.13,192.99,-758,-0.000743,45.33,4.26,2.57,1,2025-11-02,1.0
118,19,Atlanta,GA,33.749,-84.388,1050,20,Jacksonville,FL,30.3322,-81.6557,16,285.18,284.98,-1034,-0.000687,45.31,6.29,3.8,1,2025-11-02,1.0
119,20,Jacksonville,FL,30.3322,-81.6557,16,19,Atlanta,GA,33.749,-84.388,1050,285.18,285.37,1034,0.000687,44.69,6.39,3.8,1,2025-11-02,1.0
120,19,Atlanta,GA,33.749,-84.388,1050,21,Miami,FL,25.7617,-80.1918,6,606.39,606.19,-1044,-0.000326,45.15,13.43,8.08,2,2025-11-01,1.0
121,21,Miami,FL,25.7617,-80.1918,6,19,Atlanta,GA,33.749,-84.388,1050,606.39,606.59,1044,0.000326,44.85,13.52,8.09,2,2025-11-01,1.0
122,19,Atlanta,GA,33.749,-84.388,1050,22,Orlando,FL,28.5383,-81.3792,82,401.54,401.35,-968,-0.000457,45.21,8.88,5.35,1,2025-11-01,1.0
123,22,Orlando,FL,28.5383,-81.3792,82,19,Atlanta,GA,33.749,-84.388,1050,401.54,401.72,968,0.000457,44.79,8.97,5.36,1,2025-11-01,1.0
124,19,Atlanta,GA,33.749,-84.388,1050,28,Nashville,TN,36.1627,-86.7816,597,214.89,214.81,-453,-0.000399,45.18,4.75,2.86,1,2025-11-02,1.0
