route_id,from_city_id,from_city,from_state,from_lat,from_lon,from_elevation_miles,to_city_id,to_city,to_state,to_lat,to_lon,to_elevation_miles,map_distance_miles,real_distance_miles,elevation_change_miles,tan_theta,mpg,gallons_needed,travel_hours,travel_days
128,23,Columbus,OH,39.9612,-82.9988,0.17083,25,Detroit,MI,42.3314,-83.0458,0.11364,163.79,163.73,-0.05719,-0.000349,45.16,3.63,2.18,1
129,25,Detroit,MI,42.3314,-83.0458,0.11364,23,Columbus,OH,39.9612,-82.9988,0.17083,163.79,163.84,0.05719,0.000349,44.84,3.65,2.18,1
130,23,Columbus,OH,39.9612,-82.9988,0.17083,26,Indianapolis,IN,39.7684,-86.1581,0.13579,168.07,168.03,-0.03504,-0.000208,45.09,3.73,2.24,1
131,26,Indianapolis,IN,39.7684,-86.1581,0.13579,23,Columbus,OH,39.9612,-82.9988,0.17083,168.07,168.1,0.03504,0.000208,44.91,3.74,2.24,1
132,23,Columbus,OH,39.9612,-82.9988,0.17083,27,Louisville,KY,38.2527,-85.7585,0.08826,189.26,189.18,-0.08257,-0.000436,45.2,4.19,2.52,1
133,27,Louisville,KY,38.2527,-85.7585,0.08826,23,Columbus,OH,39.9612,-82.9988,0.17083,189.26,189.35,0.08257,0.000436,44.8,4.23,2.52,1
134,24,Cleveland,OH,41.4993,-81.6944,0.12367,25,Detroit,MI,42.3314,-83.0458,0.11364,90.18,90.17,-0.01003,-0.000111,45.05,2,1.2,1
135,25,Detroit,MI,42.3314,-83.0458,0.11364,24,Cleveland,OH,41.4993,-81.6944,0.12367,90.18,90.19,0.01003,0.000111,44.95,2.01,1.2,1
136,24,Cleveland,OH,41.4993,-81.6944,0.12367,26,Indianapolis,IN,39.7684,-86.1581,0.13579,262.79,262.8,0.01212,4.60E-05,44.98,5.84,3.5,1
137,26,Indianapolis,IN,39.7684,-86.1581,0.13579,24,Cleveland,OH,41.4993,-81.6944,0.12367,262.79,262.78,-0.01212,-4.60E-05,45.02,5.84,3.5,1
138,24,Cleveland,OH,41.4993,-81.6944,0.12367,27,Louisville,KY,38.2527,-85.7585,0.08826,310.99,310.95,-0.03541,-0.000114,45.05,6.9,4.15,1
139,27,Louisville,KY,38.2527,-85.7585,0.08826,24,Cleveland,OH,41.4993,-81.6944,0.12367,310.99,311.02,0.03541,0.000114,44.95,6.92,4.15,1
140,25,Detroit,MI,42.3314,-83.0458,0.11364,26,Indianapolis,IN,39.7684,-86.1581,0.13579,240.09,240.11,0.02215,9.20E-05,44.96,5.34,3.2,1
141,26,Indianapolis,IN,39.7684,-86.1581,0.13579,25,Detroit,MI,42.3314,-83.0458,0.11364,240.09,240.07,-0.02215,-9.20E-05,45.04,5.33,3.2,1
142,26,Indianapolis,IN,39.7684,-86.1581,0.13579,27,Louisville,KY,38.2527,-85.7585,0.08826,106.9,106.85,-0.04753,-0.000445,45.2,2.36,1.42,1
143,27,Louisville,KY,38.2527,-85.7585,0.08826,26,Indianapolis,IN,39.7684,-86.1581,0.13579,106.9,106.95,0.04753,0.000445,44.8,2.39,1.43,1
144,27,Louisville,KY,38.2527,-85.7585,0.08826,28,Nashville,TN,36.1627,-86.7816,0.11307,154.99,155.02,0.02481,0.00016,44.93,3.45,2.07,1
145,28,Nashville,TN,36.1627,-86.7816,0.11307,27,Louisville,KY,38.2527,-85.7585,0.08826,154.99,154.97,-0.02481,-0.00016,45.07,3.44,2.07,1
146,27,Louisville,KY,38.2527,-85.7585,0.08826,29,Memphis,TN,35.1495,-90.049,0.06382,320.03,320.01,-0.02444,-7.60E-05,45.03,7.11,4.27,1
147,29,Memphis,TN,35.1495,-90.049,0.06382,27,Louisville,KY,38.2527,-85.7585,0.08826,320.03,320.05,0.02444,7.60E-05,44.97,7.12,4.27,1
